Start Station,Start Terminal,End Station,End Terminal,Trips
Powell Street BART,39,Powell Street BART,39,197
Powell Street BART,39,Clay at Battery,41,68
Powell Street BART,39,Davis at Jackson,42,29
Powell Street BART,39,Commercial at Montgomery,45,50
Powell Street BART,39,Washington at Kearny,46,163
Powell Street BART,39,Post at Kearny,47,73
Powell Street BART,39,Embarcadero at Vallejo,48,56
Powell Street BART,39,Spear at Folsom,49,39
Powell Street BART,39,Harry Bridges Plaza (Ferry Building),50,247
Powell Street BART,39,Embarcadero at Folsom,51,11
Powell Street BART,39,Embarcadero at Bryant,54,34
Powell Street BART,39,Temporary Transbay Terminal,55,66
Powell Street BART,39,Beale at Market,56,168
Powell Street BART,39,5th at Howard,57,220
Powell Street BART,39,San Francisco City Hall,58,152
Powell Street BART,39,Golden Gate at Polk,59,128
Powell Street BART,39,Embarcadero at Sansome,60,190
Powell Street BART,39,2nd at Townsend,61,155
Powell Street BART,39,2nd at Folsom,62,64
Powell Street BART,39,Howard at 2nd,63,40
Powell Street BART,39,2nd at South Park,64,69
Powell Street BART,39,Townsend at 7th,65,472
Powell Street BART,39,South Van Ness at Market,66,401
Powell Street BART,39,Market at 10th,67,783
Powell Street BART,39,Yerba Buena Center of the Arts (3rd @ Howard),68,38
Powell Street BART,39,San Francisco Caltrain 2 (330 Townsend),69,1562
Powell Street BART,39,San Francisco Caltrain (Townsend at 4th),70,334
Powell Street BART,39,Powell at Post (Union Square),71,67
Powell Street BART,39,Civic Center BART (7th at Market),72,178
Powell Street BART,39,Grant Avenue at Columbus Avenue,73,89
Powell Street BART,39,Steuart at Market,74,239
Powell Street BART,39,Mechanics Plaza (Market at Battery),75,111
Powell Street BART,39,Market at 4th,76,109
Powell Street BART,39,Market at Sansome,77,175
Powell Street BART,39,Broadway St at Battery St,82,23
Clay at Battery,41,Powell Street BART,39,136
Clay at Battery,41,Clay at Battery,41,130
Clay at Battery,41,Davis at Jackson,42,46
Clay at Battery,41,Commercial at Montgomery,45,17
Clay at Battery,41,Washington at Kearny,46,42
Clay at Battery,41,Post at Kearny,47,61
Clay at Battery,41,Embarcadero at Vallejo,48,55
Clay at Battery,41,Spear at Folsom,49,87
Clay at Battery,41,Harry Bridges Plaza (Ferry Building),50,171
Clay at Battery,41,Embarcadero at Folsom,51,36
Clay at Battery,41,Embarcadero at Bryant,54,78
Clay at Battery,41,Temporary Transbay Terminal,55,351
Clay at Battery,41,Beale at Market,56,66
Clay at Battery,41,5th at Howard,57,50
Clay at Battery,41,San Francisco City Hall,58,12
Clay at Battery,41,Golden Gate at Polk,59,28
Clay at Battery,41,Embarcadero at Sansome,60,361
Clay at Battery,41,2nd at Townsend,61,278
Clay at Battery,41,2nd at Folsom,62,18
Clay at Battery,41,Howard at 2nd,63,38
Clay at Battery,41,2nd at South Park,64,59
Clay at Battery,41,Townsend at 7th,65,26
Clay at Battery,41,South Van Ness at Market,66,15
Clay at Battery,41,Market at 10th,67,39
Clay at Battery,41,Yerba Buena Center of the Arts (3rd @ Howard),68,41
Clay at Battery,41,San Francisco Caltrain 2 (330 Townsend),69,259
Clay at Battery,41,San Francisco Caltrain (Townsend at 4th),70,1056
Clay at Battery,41,Powell at Post (Union Square),71,47
Clay at Battery,41,Civic Center BART (7th at Market),72,51
Clay at Battery,41,Grant Avenue at Columbus Avenue,73,308
Clay at Battery,41,Steuart at Market,74,53
Clay at Battery,41,Mechanics Plaza (Market at Battery),75,73
Clay at Battery,41,Market at 4th,76,103
Clay at Battery,41,Market at Sansome,77,97
Clay at Battery,41,Broadway St at Battery St,82,68
Davis at Jackson,42,Powell Street BART,39,46
Davis at Jackson,42,Clay at Battery,41,38
Davis at Jackson,42,Davis at Jackson,42,305
Davis at Jackson,42,Commercial at Montgomery,45,153
Davis at Jackson,42,Washington at Kearny,46,72
Davis at Jackson,42,Post at Kearny,47,105
Davis at Jackson,42,Embarcadero at Vallejo,48,86
